Date,Seminar Number,Content
2020-03-31,01,"Technology rehearsal, introduction, class guidelines and expectations"
2020-04-07,02,"Purpose of teaching assistants, getting started with online teaching"
2020-04-14,03,Teaching assistant guidelines and responsibilities
2020-04-21,04,Educational tools
2020-04-28,05,Small-group presentations
2020-05-05,06,"Thinking about learning, Universal Design for Learning"
2020-05-12,07,"Mindset, self-efficacy"
2020-05-19,08,"Criticism, feedback, emotional intelligence introduction"
2020-05-26,09,Emotional intelligence
2020-06-02,10,Wrap-up
